epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.5444,2.02793,2.36389,1.68761,0.36089,0.51233,0.37108,0.15546,2.04794,2.01332,1.58424,0.000414863,0.000414863,0.000414863
2,188.104,1.91842,1.8252,1.52713,0.40414,0.56578,0.43383,0.19339,1.9878,1.92917,1.51727,0.000756692,0.000756692,0.000756692
3,278.628,1.8948,1.77006,1.51422,0.37837,0.56202,0.41354,0.18481,1.97481,1.8029,1.51513,0.00102352,0.00102352,0.00102352
4,368.844,1.89046,1.72288,1.49972,0.44921,0.53624,0.44214,0.20766,1.91361,1.709,1.45676,0.0009125,0.0009125,0.0009125
5,459.029,1.85143,1.66943,1.47096,0.43868,0.53306,0.46301,0.21439,1.95524,1.72357,1.48872,0.0008,0.0008,0.0008
6,549.312,1.82355,1.63224,1.45573,0.47541,0.54255,0.4713,0.22065,1.89697,1.70489,1.48416,0.0006875,0.0006875,0.0006875
7,639.655,1.80707,1.591,1.43763,0.45629,0.56056,0.48683,0.23048,1.87004,1.61348,1.45462,0.000575,0.000575,0.000575
8,729.961,1.78397,1.5561,1.4273,0.47292,0.57469,0.49649,0.23693,1.89452,1.58828,1.45784,0.0004625,0.0004625,0.0004625
9,820.283,1.76528,1.517,1.41078,0.49338,0.57503,0.51673,0.24789,1.86358,1.56617,1.43412,0.00035,0.00035,0.00035
10,910.585,1.73952,1.48887,1.40117,0.50526,0.57476,0.52147,0.25317,1.84451,1.55308,1.42881,0.0002375,0.0002375,0.0002375
