epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7638,2.0324,2.39375,1.68049,0.30933,0.44551,0.32088,0.13971,1.99918,2.332,1.55934,0.000414258,0.000414258,0.000414258
2,56.5568,1.91482,1.83891,1.535,0.33955,0.52821,0.38281,0.16764,1.97145,1.94855,1.52999,0.000756142,0.000756142,0.000756142
3,81.4975,1.89179,1.77641,1.50632,0.42494,0.54182,0.4337,0.1986,1.92791,1.8012,1.48974,0.00102303,0.00102303,0.00102303
4,106.079,1.876,1.70805,1.48226,0.44227,0.52153,0.46037,0.21585,1.91049,1.70046,1.46949,0.0009125,0.0009125,0.0009125
5,131.121,1.84518,1.66933,1.45537,0.39291,0.54139,0.44977,0.21271,1.89932,1.71791,1.44034,0.0008,0.0008,0.0008
6,155.125,1.82693,1.63702,1.446,0.43766,0.57914,0.45739,0.20704,1.92864,1.66727,1.46878,0.0006875,0.0006875,0.0006875
7,179.641,1.7984,1.58791,1.42995,0.46396,0.56084,0.48159,0.23579,1.85964,1.60227,1.43656,0.000575,0.000575,0.000575
8,204.463,1.77977,1.5542,1.42596,0.46486,0.56917,0.48254,0.23302,1.86851,1.60441,1.46028,0.0004625,0.0004625,0.0004625
9,228.61,1.7615,1.51627,1.41373,0.47458,0.58205,0.49509,0.23935,1.83935,1.58662,1.43575,0.00035,0.00035,0.00035
10,253.372,1.73526,1.48532,1.39648,0.47593,0.57069,0.49766,0.24153,1.84609,1.56754,1.44263,0.0002375,0.0002375,0.0002375
