epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4486,2.12147,2.99544,1.68426,0.31646,0.34382,0.26326,0.09879,2.05241,2.41162,1.72141,0.000415462,0.000415462,0.000415462
2,80.8146,1.9198,2.24489,1.4997,0.42244,0.56906,0.43647,0.17961,1.94308,1.878,1.50271,0.000823128,0.000823128,0.000823128
3,118.353,1.9088,2.0662,1.49887,0.42799,0.53847,0.43151,0.18879,1.91862,1.88169,1.52323,0.00119535,0.00119535,0.00119535
4,153.644,1.87423,1.96211,1.50291,0.42101,0.56988,0.45514,0.1975,1.95931,1.84722,1.58688,0.00113183,0.00113183,0.00113183
5,188.187,1.85837,1.88028,1.48304,0.43163,0.55699,0.46265,0.2093,1.96008,1.77965,1.5237,0.00104527,0.00104527,0.00104527
6,224.599,1.79914,1.78512,1.47626,0.45737,0.58097,0.47293,0.2133,1.92308,1.71038,1.52238,0.000940625,0.000940625,0.000940625
7,260.319,1.77492,1.7102,1.46703,0.44938,0.57612,0.46846,0.21908,1.89943,1.71491,1.52141,0.000822454,0.000822454,0.000822454
8,295.346,1.75776,1.67258,1.46431,0.45283,0.55709,0.47629,0.22006,1.85896,1.6914,1.48886,0.000695927,0.000695927,0.000695927
9,328.946,1.7399,1.65006,1.4533,0.47444,0.58364,0.50307,0.23881,1.82498,1.64687,1.46714,0.000566573,0.000566573,0.000566573
10,363.325,1.72321,1.61182,1.45197,0.48737,0.5568,0.50428,0.2371,1.85121,1.63457,1.50254,0.000440046,0.000440046,0.000440046
11,399.618,1.70815,1.58496,1.44251,0.49226,0.57242,0.50817,0.23712,1.8765,1.60532,1.49675,0.000321875,0.000321875,0.000321875
12,434.104,1.69612,1.54888,1.42167,0.47968,0.58971,0.51626,0.24491,1.87569,1.59768,1.48755,0.000217225,0.000217225,0.000217225
13,469.334,1.68458,1.53039,1.41304,0.48673,0.58695,0.51768,0.24971,1.83696,1.59044,1.47287,0.000130671,0.000130671,0.000130671
14,504.227,1.67302,1.51885,1.40926,0.48834,0.57406,0.51594,0.24697,1.84821,1.59422,1.48412,6.59937e-05,6.59937e-05,6.59937e-05
15,538.52,1.66869,1.51101,1.41068,0.48856,0.59789,0.52194,0.25165,1.84442,1.57984,1.47874,2.60212e-05,2.60212e-05,2.60212e-05
