epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3951,2.05273,3.0273,1.61828,0.38451,0.45474,0.34547,0.14416,2.01607,2.22187,1.4935,0.000414286,0.000414286,0.000414286
2,49.8953,1.87636,2.15071,1.4649,0.42329,0.5368,0.41099,0.18003,1.98913,1.92807,1.44114,0.000810821,0.000810821,0.000810821
3,69.5153,1.8558,1.95406,1.45835,0.42278,0.52353,0.41419,0.17593,1.98186,1.8435,1.48277,0.00112967,0.00112967,0.00112967
4,89.7488,1.83182,1.84177,1.45209,0.43007,0.53243,0.43814,0.19674,1.98372,1.76581,1.50631,0.000994942,0.000994942,0.000994942
5,109.919,1.81159,1.74583,1.43573,0.41618,0.54711,0.4401,0.19707,1.93254,1.78416,1.48356,0.000822454,0.000822454,0.000822454
6,129.248,1.78225,1.67855,1.41595,0.45298,0.51654,0.45167,0.2043,1.95028,1.74503,1.47575,0.00063125,0.00063125,0.00063125
7,150.147,1.76169,1.6413,1.40372,0.45886,0.57296,0.48249,0.21887,1.90953,1.66736,1.45756,0.000440046,0.000440046,0.000440046
8,169.441,1.73468,1.59701,1.39111,0.46343,0.57122,0.48308,0.22355,1.91184,1.6195,1.43958,0.000267558,0.000267558,0.000267558
9,189.755,1.72584,1.56355,1.37503,0.47851,0.57203,0.49632,0.23285,1.88218,1.6214,1.43243,0.000130671,0.000130671,0.000130671
10,210.496,1.70338,1.54438,1.37089,0.48613,0.56313,0.50213,0.23276,1.89293,1.61825,1.4453,4.27838e-05,4.27838e-05,4.27838e-05
