epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5217,2.14243,3.07039,1.66637,0.37176,0.48353,0.3564,0.14502,1.9246,2.21858,1.49239,0.000414258,0.000414258,0.000414258
2,47.5915,1.91554,2.25781,1.47417,0.37813,0.59229,0.42285,0.18334,1.97365,1.87088,1.46713,0.000822699,0.000822699,0.000822699
3,67.9931,1.90266,2.08343,1.47931,0.43325,0.54307,0.42233,0.18571,1.9636,1.86362,1.50056,0.00122289,0.00122289,0.00122289
4,87.983,1.89119,1.99603,1.49091,0.42165,0.57014,0.44497,0.19282,1.99068,1.77055,1.51708,0.00121287,0.00121287,0.00121287
5,108.436,1.86316,1.90526,1.46203,0.44955,0.56066,0.46084,0.20976,1.89337,1.79137,1.51331,0.0012005,0.0012005,0.0012005
6,128.877,1.85849,1.87397,1.47254,0.42957,0.54272,0.43803,0.19644,1.95083,1.77618,1.52251,0.00118812,0.00118812,0.00118812
7,149.131,1.83704,1.8452,1.46708,0.42523,0.53849,0.44158,0.20118,1.8941,1.76828,1.48014,0.00117575,0.00117575,0.00117575
8,169.509,1.83735,1.81833,1.46705,0.46045,0.55067,0.47719,0.2219,1.90627,1.68215,1.51871,0.00116337,0.00116337,0.00116337
9,190.089,1.83732,1.80597,1.46875,0.45494,0.56538,0.47296,0.21452,1.95439,1.71264,1.53081,0.001151,0.001151,0.001151
10,210.496,1.82176,1.77942,1.46026,0.46046,0.58213,0.48482,0.22842,1.84481,1.66008,1.47376,0.00113863,0.00113863,0.00113863
11,230.711,1.81147,1.76199,1.4576,0.41972,0.55581,0.46612,0.21953,1.86826,1.74446,1.5098,0.00112625,0.00112625,0.00112625
12,250.824,1.79742,1.75474,1.45077,0.48291,0.57981,0.4949,0.23435,1.86112,1.60504,1.46647,0.00111388,0.00111388,0.00111388
13,271.815,1.78876,1.72309,1.44574,0.45904,0.55728,0.48108,0.21536,1.90824,1.68494,1.51366,0.0011015,0.0011015,0.0011015
14,292.099,1.79284,1.72034,1.44277,0.48965,0.5803,0.5021,0.23636,1.87978,1.6248,1.48138,0.00108913,0.00108913,0.00108913
15,312.734,1.79982,1.71118,1.44577,0.48313,0.58034,0.50372,0.23552,1.86774,1.62724,1.48544,0.00107675,0.00107675,0.00107675
16,333.022,1.77681,1.68682,1.4344,0.48084,0.61107,0.50481,0.22768,1.92465,1.60713,1.51132,0.00106437,0.00106437,0.00106437
17,353.516,1.78633,1.69813,1.44191,0.49162,0.60177,0.51395,0.24371,1.87522,1.58777,1.48914,0.001052,0.001052,0.001052
